Cage	Individual	Type	time_point	Value1	Value2	Value3	Value4	Value5	Mean_value	Date	Weight	normalized
Hot 10	LI1_2nd_10	WC	1	1.54	1.5	1.48	1.49	1.5	1.502	04/07/2023	5.37	0.279702048
Hot 2	LI1_2nd_9	WC	1	1.41	1.4	1.39	1.4	1.39	1.398	04/07/2023	4.7	0.297446809
Cold 12	AH1_2nd_20	CC	1	1.15	1.16	1.15	1.15	1.12	1.146	04/07/2023	4.77	0.240251572
Cold 7	AH1_2nd_18	CC	1	1.4	1.39	1.38	1.37	1.38	1.384	04/07/2023	5.47	0.253016453
Hot 7	LI1_2nd_7	WC	1	1.39	1.42	1.34	1.35	1.36	1.372	04/07/2023	4.59	0.298910675
Hot 8	LI1_2nd_4	WC	1	1.4	1.39	1.41	1.4	1.38	1.396	04/07/2023	6.5	0.214769231
Hot 4	LI1_2nd_2	WC	1	1.3	1.31	1.28	1.27	1.25	1.282	04/07/2023	5.13	0.249902534
Hot 9	LI1_2nd_1	WC	1	1.124	1.25	1.22	1.24	1.23	1.2128	04/07/2023	4.72	0.256949153
Hot 6	LI1_2nd_6	WC	1	1.32	1.3	1.3	1.28	1.29	1.298	04/07/2023	5.24	0.247709924
Hot 5	LI1_2nd_3	WC	1	1.19	1.18	1.17	1.19	1.19	1.184	04/07/2023	4.96	0.238709677
Hot 3	LI1_2nd_8	WC	1	1.3	1.29	1.3	1.31	1.3	1.3	04/07/2023	4.79	0.271398747
Hot 1	LI1_2nd_5	WC	1	1.32	1.31	1.29	1.33	1.3	1.31	04/07/2023	5.55	0.236036036
